state,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23
Bogota,1,1,1,1,1,3,3,6,11,19,31,40,45,53,65,88,92,114
Amazonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia,0,0,0,1,1,4,4,4,7,8,8,8,8,11,22,25,25,51
Arauca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantico,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,7,7,7
Bolivar,0,0,0,0,0,1,1,1,1,3,3,5,7,9,9,14,14,16
Boyaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldas,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,6,7
Caqueta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casanare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Cauca,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Cesar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Choco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cundinamarca,0,0,0,0,0,0,0,0,0,1,1,1,3,4,7,8,8,13
Guainia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guaviare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huila,0,0,0,0,0,0,0,2,2,7,7,7,8,9,9,10,10,11
La Guajira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magdalena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3
Meta,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,5
Narino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norte de Santander,0,0,0,0,0,0,0,0,0,1,1,3,3,6,6,8,8,8
Putumayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quindio,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,6,7
Risaralda,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,8,13,14
San Andres y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Santander,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4
Sucre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolima,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,4
Valle del Cauca,0,0,1,1,1,1,1,2,2,3,3,5,13,14,15,26,31,37
Vaupes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vichada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
